speaker,text,act,conv_id,topic,topic_ldaconv,topic_ldautt
0,Yeah.  /,29,944,28,29,-1
0,"{C so, }",8,724,3,40,-1
0,Really? /,27,468,29,65,-1
0,"{C but } when we were looking we were looking for something that had enough seat belts, of course,  /",8,949,29,37,-1
1,"{D Well, } thing is, it's a [ global, + global ]  market place these days,  /",35,502,12,9,-1
0,# I # just don't know where it would come from. /,42,290,59,7,-1
1,You're kind of like the scout that goes ahead of the team and assesses the need. /,8,320,24,20,-1
1,"[ I, + I ] have a good friend who is, {F uh, }  a physician practicing in Canada.  /",8,688,65,39,-1
1,Uh-huh. /,2,535,53,6,-1
0,{C And } little boys are around the house --,8,1099,49,34,-1
1,"My cousin, does, for instance. /",8,913,48,6,-1
1,"{C but, } [ [ I, + I ] want to be, + I want to get ] what I deserve  /",8,173,59,39,-1
0,Right. /,6,1082,5,3,-1
1,"{C So } we've been trying to get something or to pull some grass underneath there [ and, + and ] whatnot.  /",8,106,6,0,-1
1,Really. /,27,885,31,40,-1
0,"# {F Oh } my goodness,  /",11,681,49,33,-1
0,{C And } it --,8,827,6,53,-1
1,"I think, really to get out there and dig in the dirt,",35,786,6,60,-1
1,"# {C and } I guess, # no,  /",8,147,39,7,-1
1,Bye-bye. /,28,1123,14,0,-1
1,"there needs to be more than one test,  /",35,428,27,43,-1
1,<Laughter>.,26,906,5,51,-1
0,"I  ] still really don't do that much, as you say, play games on it <laughter>, /",42,1119,28,19,-1
1,Yeah. /,40,817,2,11,-1
1,"{F uh, } sort of at the end of this [ little, + little ] point  /",42,406,50,34,-1
0,{F Uh. } /,6,93,53,33,-1
1,{C So } it is easier for us few  stragglers to go home. /,8,566,63,40,-1
1,"{C or, } {C or } emotional politicians, certain very vibrant politicians tend to bring crowds out, I think.  /",35,194,45,44,-1
1,"{C and } there's some interesting problems [ [ of, + of, ] + of ] [ how d-, you, + how do you ] challenge the kids today.  /",15,174,17,3,-1
0,Have you ever fished off the pier? /,34,148,37,7,-1
0,"I think, we'll, do much better when we're living together and we're only paying one rent and one telephone.  /",8,779,24,65,-1
0,"<laughter>  [ [ [ I, + {F uh, } I, ] + {E I mean, } ] +   I ] can relate to that because [ I'm, + I'm ] going to college right now,  /",8,507,17,20,-1
0,<Laughter>.,26,1098,44,60,-1
1,Yeah  /,29,684,32,67,-1
0,"-- [ I, +  I ] don't know what it  would take [ to, +  to ] get my children to start working on it.  /",42,841,42,40,-1
0,"{C and } that's part of, I think, teaching too, is what a family is like,  /",35,929,11,10,-1
0,"{D See, }  [ they, + they ] sectioned it out even more.  /",8,581,21,35,-1
0,{C and } whether or not they can fix that  or not is going to be an interesting question.  /,35,1074,13,58,-1
0,{C and } it's really caught on {C  /,8,852,42,22,-1
1,"{C And } we have tried several years in a row,  /",8,786,6,60,-1
1,Uh-huh. /,6,654,63,22,-1
0,"{F um, } up here some of the  state parks are really nice  /",8,1101,23,33,-1
1,Yeah. /,6,1134,59,5,-1
0,"A guy went to [ a d-, + a landfill, ] dug down five feet [ and, + and ] pulled up a phone book from {D like } nineteen sixty  /",8,372,42,45,-1
0,"right now, I think.",8,772,43,43,-1
0,"too, if you ever come [ to, + to ] Dallas area. /",42,437,45,44,-1
0,"{C but } again high school football is just so much fun to watch,  /",35,788,8,5,-1
0,"[ {C And, } + {F um, } {C so } ] that many of the countries Turkey and Syria are the same as they were for traveling. /",8,87,20,5,-1
1,"[ It's, + it's ] not there. /",35,147,39,7,-1
0,"-- I think one of the good ways of solving that is [ to +  {D like, }  everybody likes to come to ] a party so have a voting  party [ and, + ] {F uh, } {D you know, } {D like } in communities <talking> and have the issues there   and then everybody go vote together  and then maybe come back over and  have brunch or something.  /",42,513,45,67,-1
0,{C and } ] I have a neighbor with a big motorbike /,42,181,15,23,-1
0,I don't know much to say about it.  /,8,984,2,33,-1
1,"{D Well, } you should try it. /",35,1126,9,9,-1
1,"That just seemed to me to be [ a, + {F uh, } a ]  phenomenal, {F uh, } demonstration of restraint,  /",35,557,20,31,-1
1,My problem is not having enough time to do the job as completely and as thoroughly as I would like.  /,8,189,6,27,-1
1,{C and } my husband sometimes joins them with that. /,8,976,11,7,-1
1,Right. /,6,80,22,41,-1
0,<Laughter>.,26,874,53,5,-1
0,a lot of people had their cars totaled just from hail. /,8,1120,15,66,-1
1,"[ we, + we've ] been around long enough as a couple that we learned a long time ago not to wall paper together <laughter> --",8,117,49,20,-1
1,Uh-huh. /,6,37,17,20,-1
0,<Laughter>.,26,693,29,44,-1
0,Uh-huh. /,6,784,42,40,-1
1,"{C So } you have to just let it cook a  little bit less than what it says  in, if you have a microwave book,  /",8,716,53,48,-1
0,"Yeah,  /",6,434,50,27,-1
